2008;2007;2007 ref;comment
1-1;1-1;;
1-2;;;
1-3;;;
1-4;;;
1-5;1-2;;
2-1;1-3;;
2-2;;;
2-3;;;
2-4;1-4;;
2-5;2-1;2-3;
;2-2;;
;2-3;;
2-6;2-4;;
3-1;2-5;;
;2-6;;
3-2;3-1;;
3-3;3-2;;
3-4;;;
3-5;;;
4-1;3-3;;
4-2;3-4;;
;3-5;;
4-3;3-6;;
4-4;4-1;;
;4-2;;
5-1;4-3;;
5-2;4-4;;
5-3;;4-7;
5-4;4-5;4-8;
;4-6;;
;4-7;;
;4-8;;
;5-1;;
6-1;5-2;;
6-2;5-3;;
;5-4;;
;5-5;;
6-3;5-6;;
6-4;;;
6-6;;;
7-1;;;
7-2;;;
7-3;;;
7-4;6-1;;
7-5;6-2;;
;6-3;;
7-6;;;
8-1;6-4;;
8-2;6-5;7-2;
8-3;7-1;;
;7-2;;
;7-3;;
;7-4;;
8-4;7-5;;
;7-6;;
;7-7;;
8-5;8-1;;
;8-2;;see below
9-1;;;
9-2;8-3;;
9-3;;;
10-1;8-4;;
10-2;9-1;9-3;
10-3;9-2;;
;9-3;;
10-4;9-4;;
;9-5;;
;9-6;;
;10-1;;
11-1;10-2;;
11-2;10-3;;
;10-4;;
11-3;10-5;;
11-4;;8-2;see above
12-1;;;
12-2;10-6;;
12-3;11-1;;
;11-2;;
;11-3;;
;11-4;;
12-4;11-5;;
;11-6;;
13-1;12-1;;
13-2;12-2;;
13-3;12-3;;
14-1;12-4;;
14-2;12-5;;
;13-1;;
;13-2;;
;13-3;;
;13-5;;
14-4;;;
14-6;;;
14-7;;;
15-1;;;
15-5;;;
15-7;;;
15-9;;;
16-8;;;
16-11;;;
17-3;;;
17-4;;;
17-5;;;
18-1;;;
18-2;;;
18-3;;;
18-4;;;
18-5;;;
18-6;;;
19-4;;;
19-5;;;
19-7;;;
20-1;;;
20-2;;;
