description;paragraph
What helps, what blocks loving-kindness?;So we can cultivate, develop, expand the heart's capacity for loving-kindness. That is possible for us, and in the process of doing that we need to be asking, well, what helps that process? What feeds that process? How does that expansion come about? How does the heart grow in loving-kindness? We need to be asking those questions and also asking, what blocks it? What starves it? What gets in the way? ^1-1
"Faith in reconditioning mind and heart by just repeting the phrases; samadhi";And so very broadly speaking, just the repetition of the phrases, on the cushion, in the walking meditation, just having faith in that level of reconditioning the mind, reconditioning the heart - hugely significant. And just over and over again, we are retraining the intentionality in the mind and the heart. And sometimes, when the _samādhi_ itself is there, that, too, is a way in which the heart's capacity increases. ^1-2
Body sensitivity allows samadhi to go deeper;There are many ways this happens. Some are on the cushion in full meditation and some informal. So how we act, how we speak, what we choose, how we are in our interactions - that's feeding the _mettā_ as well. And we need to inquire into that - as important what happens outside of formal meditation as it is inside. And then, within formal meditation, sometimes it feels like it's going well, okay? It feels good. There's the _samādhi_ there - great, lovely, and put a lot of emphasis on this, inclining towards that. So this is why we keep saying about the body, the body sensitivity. And you drop a word in or a phrase, and it has some resonance in the body sensitivity, or the body feels peaceful, there's a feeling of peace around, there's a feeling of warmth, of happiness - actually connecting with that in the body, feeling it, feeling just a sense of comfort in the body, just a vague, unremarkable sense of well-being. That connection with those kinds of feelings in the body helps the _samādhi_. It allows the _samādhi_, the unification to go deeper. And in so doing, the _mettā_ kind of gets into the cells, becomes, in a very deep way, part of the habit, a habit for the being, a habit for the consciousness via the body and via the _samādhi_. ^1-3
If it doesn't feel to be going well, just keep having faith;And sometimes, it doesn't feel to be going well. It feels like there's no feeling, I'm even irritated or whatever, aversive, there's fear around, whatever it is - doesn't feel like it's going well. That's fine too. And what we said right at the beginning: just keep having faith in this planting of the seeds with the phrases, just planting the seeds of intention. Not to jump too much into judging one's practice, by whether it feels like it's going well or whether it feels like it's going badly. There's too much going on, so to speak, underneath the radar, in the darkness of what is not conscious, and we have to kind of respect that and have some faith in the process. ^1-4
Simile: gardener having faith that the seed grows underground;I can't remember if I said this already in here, but when a farmer or a gardener plants a seed, the germination of that seed, the nourishment of that seed goes on underneath the ground, in the darkness, invisible. And it's very similar with the _mettā_ practice. There's a lot going on at levels we don't actually have access to. To trust that. So there is certainly the fact of the _mettā_ deepening and expanding through the _samādhi_, but also deepening and expanding through just this patient faith in the planting of the seeds. ^1-5
As we practice metta, insight comes with that;What I want to go into today is the relationship of insight and the deepening of love and the deepening of compassion. So on this retreat, what we talk about - and we've already started, and it kind of gets more and more as it goes on - is the way that the practices of love and compassion actually bring insight, as part of what they bring. They bring a liberating insight. They bring insight that frees. This is not the usually understood way of understanding love and compassion, but it's there. And as we practise loving-kindness and compassion, insight comes with that - _can_ come with that. It's a possibility. ^2-1
It works the other way around as well: insight feeds loving-kindness and compassion;What I want to talk about today is the other way round: how it might be that insight feeds loving-kindness and compassion. So I'm talking about the ways loving-kindness and compassion can be fed: in our lives, in our interactions, in the _samādhi_, through the patient planting of the seeds, and now just this piece about insight leading to love and compassion. ^2-2
Are we creating metta or are we uncovering it?;Sometimes we can be doing this practice, and we feel as if we are creating the _mettā_. You're sort of sitting and huffing and puffing and squeezing and ... [laughs] And if you're lucky, you know, a drop of _mettā_. It feels like it's something fabricated, created, which it _is_, on one level. But sometimes we might ask ourselves a question: is love something created? Now, actually it _is_, but are _we_ creating it? What's actually going on there? Or is it maybe the case that love and compassion may be the natural state and a natural expression when the heart, when the consciousness is not entangled or obscured or clouded by clinging and by delusion? It's much more as if one is _uncovering_ love and _uncovering_ compassion. So that's an interesting question: what's actually going on here? Are we creating it? Or are we _uncovering_ it? Are we _allowing_ it? ^2-3
Insight is any kind of understanding that releases clinging and thus suffering;When we talk about insight and insight meditation, it's a very good question to ask: what does that mean? What is insight? What is insight meditation? Insight is an understanding - so either intellectual or intuitive, any kind of understanding - that releases clinging, and in so doing, releases suffering. So that the mark of insight is this release of suffering. That's how you know that what's going on is an insight. Suffering either goes completely or just lessens to some degree because of some way of seeing or some way of understanding. Insight releases clinging, and in releasing the clinging, the struggling, the pushing away, the pulling, the holding on, the identifying - any form of clinging - insight releases the clinging. And because it releases the clinging, suffering is released. ^2-4
Insight from not doing much or doing nothing at all;"When the Buddha talked about insight meditation, there's a number of ways of interpreting it. One way would be that it's just kind of sitting around, or watching what's going on, and trying not to _do_ much. [laughs] And hopefully out of that, _budoom_, up comes an insight, which is perfectly valid, to an extent. [laughter] But sometimes we might find, you're watching your breath, or just, you know ... [huffing and puffing] ""In, out, in, out, arising, falling, arising, falling,"" and _hoping_ that out of that, insight cracks into the being. Or just trying to sit there doing nothing, and again the hope, the assumption is that in that 'doing nothing,' an insight will be born. There is definitely something to that, and in a way - I'm not putting it in very attractive terms, but it's actually a very beautiful approach to practice. ^2-5"
Alternative: practice ways of looking that bring release;"Oftentimes, though, the Buddha talks about another approach, which is more, ""Can we practise ways of seeing and ways of relating?"" So what he means when he talks about insight meditation or insight is _practising_ certain Ways of looking at experience in the moment, _practising_ Ways of looking that bring release, that let go of the clinging. So we typically look in ways that actually lead to clinging, lead to suffering. That's what we do all the time. The Buddha said, ""Can you learn to look in different ways that bring release?"" Release of the clinging brings release from suffering, and that brings love. That brings love. ^2-6"
This talk is about incorporating some of those ways of looking into metta practice;So insight, practising ways of [seeing] - I'll go into what I mean. I'm talking a little bit abstractly. I realize that it might sound a little abstract right now. I'll explain what I mean as I go through today. Practising ways of seeing and relating that bring freedom, release, and love. And what I want to go into today is, is it possible (and these are just possibilities) that we can incorporate some of those Ways of looking, some of those practices, into the _mettā_ practice itself, so that we've kind of got a refining of the _mettā_ practice that's possible, and the compassion practice that's possible? I'll explain what I mean. ^3-1
Fear is an aversion that blocks love;In a way, I sort of want to start by going off on a bit of a tangent. But it always seems relevant on this retreat, so I'm going to do it again. And that has to do with - to speak a little bit about fear. So fear actually is an example of a kind of clinging or a kind of aversion. Fear is actually a species of aversion that blocks love. Fear blocks love. And to investigate this in our lives. Is that the case, that when we're afraid there's a kind of closing of the love? And we might notice - if you pay attention, you might notice that love and fear have this kind of inverse relationship. Originally, the Buddha offered the _mettā_ practice to a group of monks who were really, really afraid in the forest. That was his initial offering as an antidote and as a response to fear.^[According to the commentary to the _Sutta Nipāta_, the Buddha taught the _Mettā Sutta_ (Sn 1:8) as a protective discourse to a group of monks who were experiencing frightening visions and sounds produced by hostile deities. See Bhikkhu Bodhi, tr., _The Suttanipāta: An Ancient Collection of the Buddha's Discourses Together with Its Commentaries_ (Boston: Wisdom, 2017), 566-7] But we might notice in our lives that when fear is strong, love is weak. And when love is strong, fear is weak. They have this inverse relationship. And conversely, we might also notice, in ourselves and in the world, when fear is strong, violence - either a psychological or a physical violence - is strong. It goes with fear. You can see this very easily in animals, in beings, in ourselves, in political groups, in ideological groups. ^3-2
Samadhi can bring up fear;So I want to say a little bit about working with fear, because often it _does_ come up in the context of a retreat like this anyway for people. And working with fear would usually come under the umbrella of insight meditation, learning to work with that. I mentioned in one of the talks (I think it was the talk on _samādhi_): sometimes in a practice like this - we're sitting, walking - _something_ feels like it's deepening and opening. And maybe just isolated moments, or little stretches of time or whatever, the being, the consciousness, finds itself in territory that's unfamiliar: much more open, perceptions have changed a little bit, the body feels different, the sense of separation feels different, the sense of self feels different, maybe dramatically so, maybe just a little bit. And this can bring up fear. ^3-3
When the fear is not that strong, you can dip into what's enjoyable and not give so much attention to the fear;And very, very skilful to learn, if the fear is not too strong, then actually one has a choice in that moment. With that opening, the opening of the being, the opening of consciousness, there will be some pleasantness with that, alongside the fear. And this fear and the pleasantness coexist. What usually happens is we get sucked into the fear, and like a magnet, we go into the fear. We get pulled into it and spun around by it, with it. Sometimes it's possible just to sit back a little bit and have a look: I've got this pleasant enjoyment in the body, there's openness, there's warmth, etc. There's a letting go, and there's fear. And learn - and this is a skill, it's a practice - learn to incline the awareness towards what's enjoyable in there. So in that openness, there _will_ be something that's enjoyable. It's an acquired taste to learn how to dip in a little bit, dip in. You can be in control of this. You can dip into what's enjoyable and not give so much attention to the fear. You don't have to ignore it, but you also don't have to feed it by getting obsessed with it and worried about it and drawn into it. So this is a practice, but it's actually very important, when the fear is not that strong. ^3-4
When the fear is stronger, ask: what actually is fear? Body sensations;But sometimes, of course, fear does feel stronger. Or it feels like we're unable to do that. And sometimes we get very strong fear, maybe in the context of a retreat and, of course, outside a retreat. When we look at fear, we have to ask, what actually is fear? What is the experience of fear? It's an interesting one - or anxiety. And when we look, what do we see in the experience? So oftentimes we don't hang out with it long enough to actually unpack it and see what's there. What we notice with fear is usually unpleasant body sensations - in the extreme, the heart is pounding, the tummy is in knots or butterflies. Unpleasant body sensation, and aversion to the physical sensations. We don't like them. We want to get rid of them. That's there alongside the unpleasant sensations. So body sensations and aversion. ^4-1
