description;paragraph
Compassion is the natural response of the heart to suffering, in absense preoccupation with self;"Okay, so I want to talk in a bit more detail about this practice of compassion that we're doing. One possible definition for compassion might be something, _something_, like: the natural response of the heart to suffering when that heart, when the mind, when the consciousness, is not preoccupied with self, when it's not kind of contracted around self, _what I want_, including a negative self-view, ""I'm terrible at all this"" or whatever it is. So when that contraction around self isn't there, the natural response of the heart when it meets suffering will be this compassion. That's one possible definition. ^1-1"
When metta meets suffering, it transformsinto compassion;So compassion differs from mettā in that it's specific to suffering. It's oriented towards suffering. It's a response towards suffering, towards dukkha. And compassion as an energy, it wants to alleviate the suffering. It wants to heal the suffering. It wants to go out and to soothe suffering. It wants to free, it wants to free suffering. We could say, when there's loving-kindness, when there's mettā, and that mettā meets suffering, it kind of transforms into compassion. ^1-2
Compassion involves different qualities, e.g. empathy;"Again, all these - mettā and compassion and equanimity - they're all just words, but the words can be really helpful pointers of what to cultivate. But in a way, compassion is a kind of composite. It involves a lot of different qualities, a lot of different aspects to it. It certainly includes what we would call empathy, or what I'm calling empathy - meaning the kind of resonance of the heart with the suffering that it touches, or we see suffering, we witness suffering in ourselves and others, and there's a kind of trembling of the heart, I think is the Buddha's words. So we see sorrow in someone, and somehow we also feel sorrow. This is, to me, a miraculous quality of the human heart - maybe some animals' as well; I don't know. The heart has a capacity to resonate, in a very beautiful way, with the sorrow that it encounters in the world. So that's a huge part of compassion. Maybe half of compassion is empathy. ^1-3"
Compassion involves healing, equanimity, wisdom, kindness, acceptance, humour, listening, holding, opening, joy;But compassion also has this very active aspect. It wants to give, as I say. It wants to heal and soothe. It wants to do something. So it involves giving. But it also involves, it needs to have equanimity in it. It needs to have wisdom in it. It has a basis of kindness. It has kindness in it. The mettā is in it. It needs to have acceptance in it. Compassion often has humour in it. You know, it's not this very heavy, dry thing. It has listening in it. Holding. It wants to hold suffering sometimes. There's a quality of opening in it. It also has a quality of joy. Joy is running through compassion. That's quite important too. ^1-4
Compassion is more than a feeling;So compassion is all of that and probably more. And again, like mettā, it's not just a feeling. Certainly the feeling aspect of compassion is important, but it's a whole lot more. It's a whole lot more than that. ^1-5
Many people are wary that they might be taking on more suffering through compassion;"It's interesting, we all signed up for this retreat, loving-kindness and compassion, and yet I still feel that most human beings have a somewhat ambivalent relationship with compassion. Despite our - everyone _here_, certainly - the spiritual aspiration to cultivate compassion, to want to deepen the heart that way and open the heart that way, there's still maybe a part of us that kind of is a little bit wary and maybe a little bit scared of it. We can tend to think of it or feel it as a burden: ""I've already got so much stuff going on here. Now they're asking me to open to the suffering in the world."" Or, ""I've got so much going on just trying to deal with my own stuff, and now I have to somehow feel burdened by the rest of humanity and beings."" But I think as we grow on the spiritual path, we really see that it's not a burden. We're not opening ourselves up to _more_ suffering, actually. We're not _taking on_ more suffering through compassion. Rather, if the heart closes or remains closed to compassion, that's a burden, that's suffering. That heart will be small and dry and preoccupied with self, and there's suffering in that. There will be a burden to that. ^1-6"
Compassion should be an energizing, pleasant quality;So there is, though - I mean, this is a human thing - we are ambivalent, often, about compassion. So we have this kind of unsureness about it, uncertainty about it, fear of it. And we also have this yearning for it. Very, very deep in the heart is a sense that this is something that really is profoundly fulfilling to the heart. The heart's moving out in compassion, opening to compassion, opening to the suffering of others is something almost without which a life cannot be fulfilled. And so deeply we yearn for it because of the connection that it sustains, that it opens with ourselves. Our own heart is deeply connected with its own depth. And the connection, of course, with others. And you may also be having a sense, you know, at times there's a real sweetness even in the compassion. It's a very sweet quality. It can be, it should be, an energizing quality, something of it that's actually sustaining, bright. It should also be - and this may or may not be the case, more or less, but - it should also be a pleasant quality. It's something that the heart can settle into, and actually enjoy compassion. Not a burden, not something to be scared of. The warmth of it, the beauty of it. ^2-1
It's an ennobling quality;"And again, going way back to, I think, something I said in the opening talk, that compassion is an ennobling quality. It really gives a kind of beautiful nobility to the heart. And this is something which we can be genuinely proud of, our aspiration towards compassion. Perhaps on another level, too, it dissolves the kind of prison of self-interest that is our typical dwelling place. And this, again, is something that we're ambivalent about. So again, oftentimes spiritual practitioners feel the constriction of the self, and that as a prison, and yearn to be free, and yet, ""Whoa! Maybe not so fast."" It can be a little bit disorienting, or we're actually not sure how much we want to let go of the self-interest. ^2-2"
We cannot find a really deep happiness in life if we're self-centred;"But through the compassion practice, it's moving that way, through the insights that come from the compassion practice and the mettā, through the kind of sense of oneness that sometimes opens up there. And slowly, over time, I really think we begin to sense that we cannot be fulfilled, we cannot actually find a really deep happiness in life if we're self-centred. From the centre of self, to go out in the world searching for happiness, is doomed to failure, is doomed to limitation, is doomed to actually create suffering. And as these practices mature, I think, I would say there comes a point for people when one just says, ""Actually, you know, I'm just not interested in living a life with self at the centre any more."" It's just something has either gradually or suddenly just snapped. And that kind of life with self at the centre is no longer that interesting. ^2-3"
Gradually there's a deepening commitment to love and compassion;"All this happens gradually, but there's a deeper and deeper commitment to love and to compassion. And as I think John said, maybe in the opening talk, you know, the Dalai Lama, someone with tremendous years of practice and commitment says, ""My religion is kindness."" It's just moved to that kind of place. ^2-4"
How can I develop compassion;"For the Buddha, one of the really important things in his own search, in his own practice, and also what he tried to encourage others, was asking the right questions of ourselves, of life, of practice. We may think, ""Okay, compassion. All right. I see it's a good idea. How does it develop in my life?"" So this asking the questions. How can I develop compassion? How does the heart open more in compassion? Asking these questions - really, really important in life. ^2-5"
"Gertrude Stein: ""What's the question?""";"There's a story about Gertrude Stein, the writer. I know very little about her, but she was on her deathbed, in and out of a coma, and surrounded by a sort of group of acolytes - is that the word? Devotees, almost. And she seemed to sort of be slipping into this coma and entering the other realms or whatever, and then sort of coming back to this realm a little bit, in and out like this over a few days. At one point, one of her little entourage, whose name, I think, was Nancy something, said, ""Gertrude, Gertrude, what's the answer?"" Because it seemed like she was going to some place. So when she sort of emerged from her coma-esque state, she said, ""Nancy, what's the question?""^[Cf. James R. Mellow, _Charmed Circle: Gertrude Stein and Company_ (New York: Praeger, 1974), 468.] [laughter] Which I think - well, she was an odd fish anyway. ^3-1"
Sometimes we want answers in life, but we're not asking very specific questions;But in a way, there was some real wisdom in that, because sometimes we have the sense of wanting answers, wanting answers in life, and yet we're not asking very specific questions. If you look back on the Buddha's search, something he was extremely skilful at was asking really particular questions of himself and of others. And when he got asked questions, after his awakening, when he got asked questions that he felt actually weren't really leading anywhere, well, he wouldn't hesitate to tell the person! [laughter] If it wasn't the greatest question, maybe they should rethink their question, or sometimes he would just ignore it. ^3-2
Different practices for compassion;"So questioning is very important in our practice. And of course, we're dealing very much with the techniques here. And mostly the technique that we're working with is the phrases, and that's fine. That's one option. But there are many techniques. You know, if we just talk in terms of techniques, there are many techniques for compassion. There's _tonglen_, some of you will be familiar with from the Tibetan tradition. There's the taking of a bodhisattva, so Avalokiteśvara, or Kuan Yin, Tārā, Jesus, whatever it is, and just opening to that energy, and channelling that energy. Beautiful way of practising. There is the use of insight, what I talked about a little bit the other day: using the insight to just, in all kinds of different ways, to open up the compassion. But the development of compassion in our life is, of course, not just a formal thing. And we have to ask: ""Okay, I'm beginning to understand the techniques. This is working for me. What else in my life, so that it can really be a deep current in our lives?"" A question: ""What is it that nurtures compassion? What is it that allows it to grow in the heart?"" A hugely important question for our life. ^3-3"
It has this willingness to come close;"So we may look, and the first thing, the sort of basis, in a way, is just a willingness to open to and to touch suffering. It's that simple. If we're out of contact, if we're not looking, if we're disconnected from the suffering in the world, there's no way compassion is going to arise, either for ourselves or for others. So it has this willingness to come close, to be intimate, to witness, to see, to feel. And that much may be obvious to people who have been practising a while, but I don't think that if we walk down Newton Abbot high street and took a survey and asked people, ""Do you think it's a really good idea to open and to really experience intimately the suffering in the world, your own or others'?"", I'm not sure. [laughter] I'm not sure what the survey … So it's not obvious! [laughter] And even if we've been in these kind of circles, we need reminding. That's the thing without which compassion cannot arise, that willingness to come close and to touch. ^3-4"
With practice we develop a confidence that we can open to suffering;"And in so doing in our practice, we begin to develop a confidence that we actually _can_ open to suffering, we _can_ be intimate with pain, we _can_ look it in the face, and we can be okay. There's a confidence that comes into the heart, and that's huge. That's really huge. Because probably the reason that - I keep knocking Newton Abbot; it's probably the same - well, I don't know if it's the same in Totnes. Wherever. [laughter] I lost my track of thought. [laughter] Anyway, we develop the confidence by doing this, which is huge, because that's the one thing that would be lacking, I think, without the practice. ^4-1"
When there's insight into suffering, compassion comes automatically;So this willingness. Insight. 'Insight,' meaning, again, how is it that human begins kind of create or co-create suffering? What are we doing that creates unnecessary suffering in the world, for ourselves and for others? That's what insight is - it's understanding how suffering is created, understanding it so deeply that we don't do it any more. When there's that insight, when there's that understanding of suffering, compassion comes automatically. Because we look around us and inside us, and we just see it's going on all the time through clinging, through ignorance, through misunderstanding. And with that insight comes compassion. As the deepening of the understanding of anattā, of this not-self, the emptiness of self, as that deepens, compassion is natural: less to protect, less barriers between you and me, less barriers between me and the world. A natural sense of non-separation. And the compassion is organic in that. ^4-2
Spending time with compassionate people and actually doing stuff;"Also the importance of - the Buddha talks a lot about association with the wise in order to cultivate wisdom; as well as practice, just hanging out with people who are wise, talking with them, being with them, seeing how they live. I would add to that, association with the compassionate. Like really spending time with people who are really devoted to compassion, to service in the world. It kind of has a way of rubbing off. So a willingness to open, insights, the anattā, action. I haven't said that one yet: action, meaning actually doing stuff. We meditate, and hopefully we're transforming our intentions, we're transforming our hearts, so that spontaneously it wants to pour out into the world, it wants to pour its love out into the world, it wants to hold the suffering. We're transforming the heart gradually, reconditioning the heart at very deep levels. And so the movement is from inner to outer. But not to underestimate the movement from outer to inner. We act in the world out of service even when we're not feeling like it. We do something, we put ourselves in situations, and there are all kinds of opportunities in the world to spend some time devoted to service, to compassion. And that somehow transforms the inner as well. So action and association. ^4-3"
Happiness is a kind of foundation, not only for samadhi but also for compassion;And the last one, right now at least, is some degree of happiness, I would say, or well-being, or joy, or something like that, whatever word is okay for you. That when we feel a certain amount of buoyancy it's much easier for the heart to move out, to be not preoccupied with self, not burdened by life. And that happiness is a kind of foundation, not only for the samādhi, as I said, but also for compassion. ^4-4
Example: A friend's heart closes down when she's depressed;So I have a friend, I think I mentioned the other day, and she really has an extraordinary capacity for compassion. She's just one of these people that has a natural huge heart. And she has in her, for all kinds of complicated reasons, she has a history of suffering from periods of depression. And when she's in that more folded-in place, her heart just closes down. I think she _wants_ to be available, but she can't. She just doesn't have those inner resources. So taking care of our happiness, our well-being, is actually hugely important. ^4-5
4 near enemies: fear, anger, pity, grief;"We might ask: what nurtures compassion? The flip-side of the same question: what actually blocks it? What's not helpful? What's kind of getting in the way a little bit? And so, remembering with mettā, we talked about the near enemies of mettā, the near enemy being attached love. Compassion has four near enemies. Four things, four qualities, that arise - as human beings, they will arise for us - they can _look_ like compassion, they can be mistaken for compassion, but they're not; they're kind of diversions. And again, not that they're wrong or that we want to judge them or that they shouldn't arise and we expect them not to arise. They're actually part of having a human heart, part of our humanity, part of the learning process. So really not to judge these when they arise, or shun them or anything. Actually to look into what the differences are. So they are - I'll go through them in a bit more detail - fear, anger, pity, and grief. ^5-1"
Fear only compounds the suffering;So fear. And oftentimes I've come across people practising compassion and they kind of have this relationship of fear to it. Again, fear of the suffering that they will open to, and it will be burdensome, or that they will be drowning in sadness and drowning in grief. We fear our own suffering. You know, this is very clear to us. There's emotional pain that we have or physical pain, and we have a response of fear to it. But that fear only compounds the suffering. It only adds to it. Now, we need to be very clear about this. Fear is actually not something very helpful in relationship to our own suffering, for the most part. And then in relationship to the suffering of the world, we can feel like little old me is supposed to open up to the, I don't know, maybe infinite suffering of the world, the infinite suffering of beings. And this little sense of self can feel overwhelmed. ^5-2
Compassion can be diverted into a kind of righteous indignation,or judging others or ourselves;"So there's fear, there's anger. And this is quite common. It's quite a seductive one, the way that we can see suffering in the world and our compassion, what might be compassion, actually gets diverted into a kind of righteous indignation or anger at what's going on. It's extremely common. We blame: ""If it wasn't for them, if it wasn't for you, this wouldn't happen."" Or we judge others that we see to be causing suffering in the world. Or we judge our own suffering: ""I shouldn't be suffering, I'm so stupid! I've been meditating for, you know, weeks or whatever, and I'm still suffering."" [laughs] But this is really important: wisdom, and the wisdom in compassion, understands the causes and the conditions that give rise to suffering, understands what the Buddha would call the 'dependent origination' of suffering. ^5-3"
Blame, judgment, rightenous anger;I think I mentioned it sometime. I did a couple of months' mettā and compassion retreat a while ago. And when I got to the difficult category, I had three people in the difficult category. And two of them were these two American politicians. It was quite challenging. [laughs] And just seeing the blame, the judgment, etc., come up, the righteous anger. But as I practised with it, actually beginning to take a little bit of a broader view and seeing that, okay, this particular politician was brought up in a certain environment, he had a certain family. I mean, his father … [laughter] You know, where he was sent to school, all of it. There's no way - not _no_ way, but it would be _extremely_ a tall order to ask him, having grown up in that environment, in that family, in that education system, the whole works, to somehow extricate himself from all that and have a whole different way of seeing the world. That's not to condone some of the stuff that's going on, but this is what I'm saying about dependent origination, causes and conditions, actually seeing it. We tend to blame selves, and we don't see the bigger picture. Again, this web of causes and conditions that comes together and makes someone see something a certain way, someone do something a certain way, someone say something. ^5-4
Karma;"So there's that. There's understanding the causes and conditions and dependent origination. Really, really important when we see, when we're trying to be compassionate to those who are actually causing suffering in the world. The other part is also a reflection on karma. And this is not a kind of revenge thing. It's seeing that whoever it is that seems like they're causing suffering, they are actually causing suffering for themselves. And I'm not talking about future lives and all that stuff. In this life, it may not seem that way, but by cultivating greed, by cultivating insensitivity, by cultivating self-centredness, self-preoccupation, they are actually contracting their heart. There's a very real limit to how much a heart caught up in all of that, acting from all of that, there's a very real limit to the amount of true peace, true well-being, true joy that that heart can open to, despite what else comes their way. When we talk about karma, it's not a revenge - we don't get behind it because, ""Yeah! They're going to get it!"" [laughter] It's really, can we use that as a compassion, as a doorway to compassion? ^6-1"
Story: SUVs owners in the US;The last two years that I lived in the States, I moved out of the sort of inner city thing to - I wanted a bit more greenery around me, so I moved to the suburb. And it turned out after I got there that - it was really nice, actually, but it turned out to kind of be a suburb of the American dream, so to speak. And so a lot of people had swimming pools. I didn't have a swimming pool. [laughs] A lot of people with swimming pools and cars and this. And a lot of the cars there were these SUVs, sports utility vehicles, you know, those big kind of … Do you know what I mean when I say SUV? Yeah, four-wheel drive, exactly. At that time in America, there was no emissions - they could have all kinds of pollutants in the exhaust, and there was no law against it, and they were also of course gas guzzlers, etc., like that. And I'd been quite involved with different environmental projects and movements and stuff. ^6-2
