2008;2007;2007 ref;comment
1-1;;;
1-2;;;
1-3;;;
2-3;;;
2-4;;;
2-5;1-1;;
;1-2;;
;1-3;;
3-1;1-4;;
;1-5;;
;;;
3-2;1-6;;
;2-1;;
3-3;2-2;;
;2-3;;
3-4;2-4;;
;2-5;;
;2-6;;
3-5;3-1;;
4-1;3-2;;
4-2;3-3;;
;3-4;;
;3-5;;
4-4;;;
4-7;3-6;;
5-1;4-1;;
;4-2;;
5-2;;;
5-3;;;
5-4;;;
5-5;;;
5-6;;;
5-7;;;
6-1;;;
6-2;4-3;;
6-3;4-4;;
6-4;;;
6-5;;;
6-7;;;
6-8;;;
7-1;4-5;;
7-2;4-6;;
7-3;5-1;;
;5-2;;
7-4;5-3;;
8-1;5-4;;
8-2;5-5;;
8-3;;;
8-4;;6-6;
8-5;6-1;;
;6-2;;
9-1;6-3;;
9-2;6-4;;
9-3;6-5;;
;6-6;;
;7-1;;
9-4;;;
10-2;;;
10-3;;;
10-4;;;
11-1;;;
11-2;;;
11-3;;;
11-4;;;
12-1;;;
12-2;;;
12-3;;;
12-4;;;
12-5;;;
13-1;;;
13-2;;;
13-3;;;
13-5;;;
13-6;;;
;7-2;;
14-1;7-3;;
;7-4;;
14-2;7-5;;
14-3;;;
14-4;7-6;;
;8-1;;
14-5;8-2;;
14-6;8-3;;
14-7;;;
15-1;8-4;;
;8-5;;
;8-6;;
15-2;;;
15-3;;;
16-3;;;
16-4;;;
16-5;9-1;;
;9-2;;
;9-3;;
;9-4;;
;10-1;;
;10-2;;
;10-3;;
;10-4;;
;10-5;;
;10-6;;
;10-7;;
;11-1;;
;11-2;;
;11-3;;
;11-4;;
;11-5;;
;12-1;;
;12-2;;
;12-3;;
;12-4;;
;12-5;;
;;;Q&A for 2007 omitted
