old;strand;new
1-1;WFWKBG;1-1
1-2;MQMKCR;1-2
1-3;MZTTOS;1-3
1-4;MTMRYR;1-4
1-5;LECMHS;2-1
2-1;SPXRXL;2-2
2-2;LBCFKS;2-3
;PHAUGO;2-4
2-3;BYTPQD;3-1
2-4;YYYUBF;3-2
3-1;FOCTKY;3-3
3-2;WSVZVH;3-4
3-3;XIGFNG;3-5
3-4;NBXYAQ;4-1
3-5;KIKGAT;4-2
3-6;LGCUES;4-3
4-1;IIPMKV;4-4
4-2;HBEFJW;4-5
4-3;PMYKZO;5-1
4-4;PDRBNO;5-2
4-5;OQHESP;5-3
4-6;EFRFMZ;5-4
5-1;XMNXGG;5-5
;STGLQL;6-1
5-2;DPHZUB;6-2
5-3;KKKOWT;6-3
5-4;SSWAUL;6-4
6-1;AIBYDE;7-1
6-2;SVFTNL;7-2
6-3;JHGBOU;7-3
6-4;NUPWKQ;7-4
7-1;GUBKEX;8-1
7-2;UPSMNJ;8-2
;KNJWTT;8-3
7-3;BBSWOD;8-4
7-4;QTKRBN;8-5
7-5;AFBQGE;9-1
8-1;RMUFPM;9-2
8-2;RANMGM;9-3
;EIYXFA;9-4
8-3;HXEWMW;9-5
8-4;FXJDWY;10-1
;VIKKXI;10-2
8-5;SNXKBL;10-3
8-6;UMSEQJ;10-3
9-1;TZIHVK;10-4
9-2;SYFCKL;10-4
9-3;IKOUHV;10-5
;QYKHUN;11-1
9-4;WCDJII;11-2
9-5;UTBFGJ;11-3
10-1;LWULRS;11-4
10-2;NMEQKR;11-5
10-3;TGQILK;12-1
;NGWPUQ;12-2
10-4;QPCXIN;12-3
10-5;TJPQIK;12-4
11-1;IOWNZV;13-1
11-2;GCMQFW;13-2
11-3;INOCEV;13-3
11-4;YUQCIF;13-4
12-1;GLTARX;14-1
12-2;SXHYJU;14-2
